school,course_code,course_title,prof_name,program,prerequisite
School of Liberal Arts,LNG20105,Chinese Ⅰ,Yongmei Hao,Undergraduate Course,
School of Liberal Arts,LNG20106,Chinese Ⅰ,Yongmei Hao,Undergraduate Course,
School of Liberal Arts,LNG20301,Korean Ⅰ,Yun Na Jeong,Undergraduate Course,
Department of Mechanical Engineering,MEN21101,Applied Thermodynamics,Hyungson Ki,Undergraduate Course,Thermodynamics
Department of Mechanical Engineering,MEN22001,Fluid Mechanics,Jooha Kim,Undergraduate Course,
Department of Mechanical Engineering,MEN23101,Solid Mechanics II,Joo Hwan Oh,Undergraduate Course,Solid Mechanics I
Department of Mechanical Engineering,MEN27001,Dynamics,Cheolhyeon Kwon,Undergraduate Course,
Department of Mechanical Engineering,MEN30001,Mechanical Engineering Lab Ⅰ,Taesung Kim,Undergraduate Course,Heat Transfer
Department of Mechanical Engineering,MEN30101,Numerical Analysis,Chun Sang Yoo,Undergraduate Course,Differential Equations
Department of Mechanical Engineering,MEN30201,Intro. to Finite Element Method,Hayoung Chung,Undergraduate Course,Solid Mechanics II
Department of Mechanical Engineering,MEN41301,Computational Fluid Dynamics,Jae Hwa Lee,Undergraduate Course,Numerical Analysis
Department of Mechanical Engineering,MEN45101,Introduction to MEMS,Heungjoo Shin,Undergraduate Course,
Department of Mechanical Engineering,MEN48201,UAV Navigation and Flight Computers,Hungsun Son,Undergraduate Course,Dynamic Systems and Control
Department of Mechanical Engineering,MEN49701,Special Topics in Mechanical Engineering I (Advanced Convective Heat Transfer),Aejung Yoon,Undergraduate Course,
School of New UNISTars,MGT10201,Entrepreneurship,Victoria Kim,Undergraduate Course,
School of Business Administration,MGT20101,Managment Information Systems,Yeolib Kim,Undergraduate Course,
School of Business Administration,MGT20601,Managerial Accounting,Yong Mi Kim,Undergraduate Course,Financial Accounting
School of Business Administration,MGT21101,Microeconomics,Saiah Lee,Undergraduate Course,Economics
School of Business Administration,MGT30201,Human Resource Management,Lu Zhang,Undergraduate Course,Organizational Behavior
School of Business Administration,MGT31701,International Economics,Keunsuk Chung,Undergraduate Course,Macroeconomics
School of Business Administration,MGT33101,International  Marketing,Min Chung Kim,Undergraduate Course,Marketing Management
School of Business Administration,MGT41101,Special Topics in MGT II (Venture Capitalist Project Lab),Young Rok Choi,Undergraduate Course,
School of Business Administration,MGT43201,Marketing Research,Kee Yeun Lee,Undergraduate Course,Statistics
School of Business Administration,MGT43601,Digital marketing,Molan Kim,Undergraduate Course,
Department of Materials Science and Engineering,MSE20301,Physical Chemistry Ⅰ: Thermodynamics,Wook Jo,Undergraduate Course,
Department of Materials Science and Engineering,MSE25001,Modern Physics of Materials: Quantum Mechanics,HYESUNG PARK,Undergraduate Course,
Department of Materials Science and Engineering,MSE25301,Introduction to Nanomaterials,Jae Sung Son,Undergraduate Course,
Department of Materials Science and Engineering,MSE27001,Intro to Polymer Materials,Myoung Hoon Song,Undergraduate Course,
Department of Materials Science and Engineering,MSE29001,Intro to Computational Materials Science,Ki-Suk Lee,Undergraduate Course,
Department of Materials Science and Engineering,MSE30001,Materials Lab,"Ju-Young Kim
HYESUNG PARK
Jiyun Kim",Undergraduate Course,
Department of Materials Science and Engineering,MSE31301,Mechanical Behavior of Materials,Ju-Young Kim,Undergraduate Course,
Department of Materials Science and Engineering,MSE31601,Wearable smart healthcare electronic system,Moon Kee Choi,Undergraduate Course,
Department of Materials Science and Engineering,MSE35001,Solid State Physics of Materials I,Jung-Woo Yoo,Undergraduate Course,
Department of Materials Science and Engineering,MSE43101,Introduction to Spintronics,Ki-Suk Lee,Undergraduate Course,
Department of Materials Science and Engineering,MSE43401,Microstructure-Property Relationships:Foundations in Physical Metallurg,Suk Bin Lee,Undergraduate Course,
Department of Materials Science and Engineering,MSE45301,Semiconductor Processing,Joonki Suh,Undergraduate Course,
Department of Materials Science and Engineering,MSE49201,Special Topics in Materials Science and Engineering Ⅱ(Polymer Structures and Properties),Han-Hee Cho,Undergraduate Course,
Department of Materials Science and Engineering,MSE49401,Special Topics in Materials Science and Engineering Ⅳ (Machine Learning for Semiconductor Design),Changwook Jeong,Undergraduate Course,
School of New UNISTars,MTH11101,Calculus I,Bogume Jang,Undergraduate Course,
School of New UNISTars,MTH11201,Calculus II,Hyeungjoon Kim,Undergraduate Course,
School of New UNISTars,MTH11202,Calculus II,Hyeungjoon Kim,Undergraduate Course,
School of New UNISTars,MTH20101,Differential Equations,Jung Eun Kim,Undergraduate Course,Calculus I
School of New UNISTars,MTH20102,Differential Equations,Lee Jungjin,Undergraduate Course,Calculus I
School of New UNISTars,MTH20301,Applied Linear Algebra,Jung Eun Kim,Undergraduate Course,
School of New UNISTars,MTH20302,Applied Linear Algebra,Lee Jungjin,Undergraduate Course,
Department of Mathematical Sciences,MTH20401,Linear Algebra,Chang-Yeol Jung,Undergraduate Course,Differential Equations
School of New UNISTars,MTH21101,Statistics,Bogume Jang,Undergraduate Course,
School of New UNISTars,MTH21102,Statistics,Bogume Jang,Undergraduate Course,
Department of Mathematical Sciences,MTH25201,Mathematical Analysis II,Youngae Lee,Undergraduate Course,Applied Linear Algebra
Department of Mathematical Sciences,MTH26001,Elementary Number theory,Chol Park,Undergraduate Course,
Department of Mathematical Sciences,MTH30301,Modern Algebra II,Hae-Sang Sun,Undergraduate Course,Modern Algebra I
Department of Mathematical Sciences,MTH31501,Ordinary differential equations,Bongsuk Kwon,Undergraduate Course,Applied Linear Algebra
Department of Mathematical Sciences,MTH32101,Numerical Analysis,Bongsoo Jang,Undergraduate Course,Differential Equations
Department of Mathematical Sciences,MTH34201,Probability,Chang Hyeong Lee,Undergraduate Course,
Department of Mathematical Sciences,MTH35101,General Topology,Rak-Kyeong Seong,Undergraduate Course,Mathematical Analysis I
Department of Mathematical Sciences,MTH41201,Dynamical Systems,Pilwon Kim,Undergraduate Course,Mathematical Analysis I
Department of Mathematical Sciences,MTH43401,Mathematical Analysis and Computation for Machine Learning,Yunho Kim,Undergraduate Course,
Department of Nuclear Engineering,NE21101,Medical Radiation Engineering,Jimin Lee,Undergraduate Course,
Department of Nuclear Engineering,NE22001,Nuclear Materials Eng & Experiment,Sangjoon Ahn,Undergraduate Course,
Department of Nuclear Engineering,NE30001,Introduction to Nuclear Reactor Theory,Douglas Fynan,Undergraduate Course,
Department of Nuclear Engineering,NE34101,Radioactive Waste Management,Jaeyeong Park,Undergraduate Course,
Department of Nuclear Engineering,NE43001,Introduction to Radiation Materials Scie,Sangjoon Ahn,Undergraduate Course,
Department of Nuclear Engineering,NE49101,Special Topics on Nuclear Engineering and Science Ⅰ(Nuclear Safety and Safety Culture),In Cheol Bang,Undergraduate Course,
Department of Nuclear Engineering,NE49201,Special Topics on Nuclear Engineering and Science II (Introduction to Medical Physics),Seongmoon Jung,Undergraduate Course,
School of New UNISTars,PHY10101,General Physics I,Sangyong Yi,Undergraduate Course,
School of New UNISTars,PHY10301,General Physics II,Yongkyoon In,Undergraduate Course,
School of New UNISTars,PHY10302,General Physics II,Sangyong Yi,Undergraduate Course,
School of New UNISTars,PHY10303,General Physics II,Sangyong Yi,Undergraduate Course,
School of New UNISTars,PHY10701,General Physics Lab I,Hyuk Kyu Pak,Undergraduate Course,
School of New UNISTars,PHY10702,General Physics Lab I,Hyuk Kyu Pak,Undergraduate Course,
School of New UNISTars,PHY10703,General Physics Lab I,Hyuk Kyu Pak,Undergraduate Course,
School of New UNISTars,PHY10704,General Physics Lab I,Yoon Seok Oh,Undergraduate Course,
School of New UNISTars,PHY10705,General Physics Lab I,Hyuk Kyu Pak,Undergraduate Course,
School of New UNISTars,PHY10801,General Physics Lab II,Yoon Seok Oh,Undergraduate Course,
School of New UNISTars,PHY10803,General Physics Lab II,Hyuk Kyu Pak,Undergraduate Course,
School of New UNISTars,PHY10806,General Physics Lab II,Hyuk Kyu Pak,Undergraduate Course,
School of New UNISTars,PHY10807,General Physics Lab II,Yoon Seok Oh,Undergraduate Course,
School of New UNISTars,PHY10809,General Physics Lab II,Yoon Seok Oh,Undergraduate Course,
Department of Physics,PHY20201,Classical Mechanics II,Hosub Jin,Undergraduate Course,Classical Mechanics I
Department of Physics,PHY20401,Eletromagnetism II,Hyeong-Ryeol Park,Undergraduate Course,Electromagnetism I
Department of Physics,PHY20701,Physics Lab I,Daeshig Ghim,Undergraduate Course,General Physics II
Department of Physics,PHY20801,Network Science for Complex Systems,Cheol-Min Ghim,Undergraduate Course,
Department of Physics,PHY22301,Mathematical Physics,Chae Un Kim,Undergraduate Course,Electromagnetism I
Department of Physics,PHY23101,Green Hydrogen Production System Based on Plasmonic Photoexcitation,Noejung Park,Undergraduate Course,
Department of Physics,PHY30201,Quantum Physics II,Je-Hyung Kim,Undergraduate Course,Quantum Physics I
Department of Physics,PHY31501,Solid State Physics I,Seon Namgung,Undergraduate Course,Quantum Physics I
Department of Physics,PHY32101,Optics,Woojin Kwon,Undergraduate Course,Electromagnetism I
Department of Physics,PHY40701,Semiconductor and Precision Measurement Physics,Kibog Park,Undergraduate Course,
Department of Physics,PHY41801,Thermal and Statistical physics Ⅱ: Soft Matter Physics,Jaeup Kim,Undergraduate Course,Thermal and Statistical Physics Ⅰ
School of Liberal Arts,SLA11101,Understanding Visual Arts,Kyong-Mi Paek,Undergraduate Course,
School of Liberal Arts,SLA12101,"Music and Creativity, Piano",Inkyoung Lee,Undergraduate Course,
School of Liberal Arts,SLA12102,"Music and Creativity, Piano",Inkyoung Lee,Undergraduate Course,
School of Liberal Arts,SLA12401,Understanding Western Music,Inkyoung Lee,Undergraduate Course,
School of Liberal Arts,SLA13301,Literature and Science,Jae Yon Lee,Undergraduate Course,
School of Liberal Arts,SLA15401,History of Modern East Asia,Christopher Lovins,Undergraduate Course,
School of Liberal Arts,SLA21301,Themes of Contemporary Art,Kyong-Mi Paek,Undergraduate Course,
School of Liberal Arts,SLA24101,Effective Communication,Jin-Young Kim,Undergraduate Course,
School of Liberal Arts,SLA24102,Effective Communication,Jin-Young Kim,Undergraduate Course,
School of Liberal Arts,SLA24201,Media Technology and Human Values,Minkyu Sung,Undergraduate Course,
School of Liberal Arts,SLA24301,Global Politics and Media,Minkyu Sung,Undergraduate Course,
School of Liberal Arts,SLA25101,History of Modern Korea,Christopher Lovins,Undergraduate Course,
School of Liberal Arts,SLA25501,"Introduction to Science, Technology and Society",Hyomin Kim,Undergraduate Course,
School of Liberal Arts,SLA26201,Philosophy of Religion,Seungbae Park,Undergraduate Course,
School of Liberal Arts,SLA28101,Society and Culture,Bradley Scott Tatar,Undergraduate Course,
School of Liberal Arts,SLA28102,Society and Culture,Bradley Scott Tatar,Undergraduate Course,
School of Liberal Arts,SLA33301,AI and Storytelling,Jae Yon Lee,Undergraduate Course,
School of Liberal Arts,SLA33302,AI and Storytelling,Jae Yon Lee,Undergraduate Course,
School of Liberal Arts,SLA34201,"Personality, Self, and Communication: Intrapersonal Communication",Jin-Young Kim,Undergraduate Course,
School of Liberal Arts,SLA36101,Metaphysics,Huiyuhl Yi,Undergraduate Course,
School of Liberal Arts,SLA36401,Logic,Huiyuhl Yi,Undergraduate Course,
School of Liberal Arts,SLA38001,Topics in Anthropology,Jinsook Choi,Undergraduate Course,
School of Liberal Arts,SLA38401,Human Evolution,Bradley Scott Tatar,Undergraduate Course,
School of Liberal Arts,SLA46101,Philosophy of Science,Seungbae Park,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE22101,Air Pollution,Sung-Deuk Choi,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE23101,Mechanics of Materials,Myoungsu Shin,Undergraduate Course,Intro to Civil Engineering
Department of Urban and Environmental Engineering,UEE24101,Geographic Information System,Gihyoug Cho,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE33301,Concrete Structures,Myoungsu Shin,Undergraduate Course,Mechanics of Materials
Department of Urban and Environmental Engineering,UEE35101,Probability Concepts in Engineering,Young Joo Lee,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE35201,Disaster Management,Jibum Chung,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE35301,Numerical Modeling and Analysis,Young Joo Lee,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE35401,Disaster Monitoring and Prediction using Artificial Intelligence,Jungho Im,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE41101,Water and Wastewater Engineering,Kyung Hwa Cho,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE41201,Environmental Bioprocess,Changsoo Lee,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE43401,Foundation Engineering,Youngkyu Cho,Undergraduate Course,
Department of Urban and Environmental Engineering,UEE45201,Satellite Remote Sensing,Sang Seo Park,Undergraduate Course,
Undergraduate School,ULP20101,Leadership_Rowing,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP20102,Leadership_Rowing,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21301,Leadership_Archery,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21302,Leadership_Archery,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21303,Leadership_Archery,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21304,Leadership_Archery,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21501,Leadership_Gukgung(Korean Archery),"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21701,Leadership_Basic Golf,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21801,Leadership_Swimming,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21901,Leadership_yoga,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP21902,Leadership_yoga,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP22001,Leadership_Tennis,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP22002,Leadership_Tennis,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP22201,Leadership_Surfing,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP22202,Leadership_Surfing,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP22301,Leadership_Taekwondo,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP30501,Leadership_Peer Leadership,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP30601,Leadership_Peer Leadership B,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP30801,Leadership_Handicrafts,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP30901,Leadership_Finance,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP40301,Local Visits,"HwanWook Kim
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP40401,Leadership_Sign Language,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP40402,Leadership_Sign Language,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP40601,Leadership_CA Mentorship(Global Mentor),"Jaekyom Shim
Eun Seo Ryu",Undergraduate Course,
Undergraduate School,ULP40901,Special Leadership Lectures,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP41301,Leadership_CA Mentorship(Mentee),"Jaekyom Shim
Eun Seo Ryu",Undergraduate Course,
Undergraduate School,ULP41801,Leadership_Mental Health I,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP42201,Leadership_Campus Leadership 1,Jaekyom Shim,Undergraduate Course,
Undergraduate School,ULP42501,Leadership_Permaculture,"Jeong Bong Cho
Jaekyom Shim",Undergraduate Course,
Undergraduate School,ULP60101,Leadership_Volunteer work 1,"Jaekyom Shim
JOONHYUNG KIM",Undergraduate Course,
Undergraduate School,ULP60201,Leadership_Volunteer work 2,"Jaekyom Shim
JOONHYUNG KIM",Undergraduate Course,
Undergraduate School,ULP60301,Leadership_Volunteer work 3,"Jaekyom Shim
JOONHYUNG KIM",Undergraduate Course,
School of New UNISTars,UNI10101,Mechanical Engineering and Future,Aejung Yoon,Undergraduate Course,
School of New UNISTars,UNI10201,What you may (not) want to know about cities and environment,"Young Joo Lee
Sang Seo Park",Undergraduate Course,
School of New UNISTars,UNI10301,Trend in Materials Science and Engineering,Jiyun Kim,Undergraduate Course,
School of New UNISTars,UNI10401,Enginneering Your Future - Energy and Chemical Engineers,"Chang Young Lee
Jae Sung Lee",Undergraduate Course,
School of New UNISTars,UNI10501,The future of Nuclear Engineering,Eisung Yoon,Undergraduate Course,
School of New UNISTars,UNI10601,What is Design?,James Andrew Self,Undergraduate Course,
School of New UNISTars,UNI10701,BME to change the world,Taejoon Kwon,Undergraduate Course,
School of New UNISTars,UNI10801,Industrial Engineering Relay Seminar,Sang Jin Kweon,Undergraduate Course,
School of New UNISTars,UNI10901,Emerging Issues in Biological Sciences,Haejin Yoon,Undergraduate Course,
School of New UNISTars,UNI11101,Introduction to Computer Science and Engineering,"Tsz-Chiu Au
Myeongjae Jeon
Kwang In Kim
Jooyong Yi
Youngbin Im
Seungryul Baek
Kyungdon Joo
Yuseok Jeon
Mijung Kim
Ilwoo Lyu
Seulki Lee
TAEHWAN KIM
Jaeyeon Lee
Junghoon KIM",Undergraduate Course,
School of New UNISTars,UNI11201,Physics & Innovative Technology,Changhee Sohn,Undergraduate Course,
School of New UNISTars,UNI11301,Introduction to Modern Mathematics,"Chang-Yeol Jung
Bongsoo Jang
Chang Hyeong Lee
Pilwon Kim
Bongsuk Kwon
Yunho Kim
Hantaek Bae
Hae-Sang Sun
Kyudong Choi
Chol Park
Youngae Lee
Rak-Kyeong Seong",Undergraduate Course,
School of New UNISTars,UNI11501,Principles of management,"Lu Zhang
Young-Choon Kim
Yeolib Kim
Min Chung Kim
Jeong Hwan Joo
Sang-Ook Shin",Undergraduate Course,
Department of Industrial Engineering,UNI20801,Inventory Management Optimization Strategies,Sang Jin Kweon,Undergraduate Course,
School of New UNISTars,BIO10101,General Biology,"Orlando D. Scharer
Anton Gartner
Hyeran Jang",Undergraduate Course,
School of New UNISTars,BIO10102,General Biology,"Orlando D. Scharer
Anton Gartner
Hyeran Jang",Undergraduate Course,
School of New UNISTars,BIO10103,General Biology,"Orlando D. Scharer
Anton Gartner
Hyeran Jang",Undergraduate Course,
Department of Biological Sciences,BIO21101,Biochemistry I,"Haejin Yoon
Sangjoon Lee",Undergraduate Course,
Department of Biological Sciences,BIO26101,Biochemistry Laboratory,Tae Joo Park,Undergraduate Course,
Department of Biological Sciences,BIO30101,Cell Biology,Jiyoung Park,Undergraduate Course,
Department of Biological Sciences,BIO30501,Neuroscience Ⅰ,Jae Ick Kim,Undergraduate Course,
Department of Biological Sciences,BIO30701,Current Topics in Biological Sciences,"Haejin Yoon
Sangjoon Lee",Undergraduate Course,
Department of Biological Sciences,BIO31401,Instrumental Bioanalysis,Sebyung Kang,Undergraduate Course,
Department of Biological Sciences,BIO32001,Genome Integrity and Cancer,"Kyungjae Myung
Orlando D. Scharer
Anton Gartner
Kei-ichi Takata",Undergraduate Course,Molecular Biology
Department of Biological Sciences,BIO40501,Introduction to Biological Physics,Jayil Lee,Undergraduate Course,
Department of Biological Sciences,BIO43001,Developmental Biology,Tae Joo Park,Undergraduate Course,Molecular Biology
Department of Biological Sciences,BIO43201,Immunology,Myung Gon Ko,Undergraduate Course,
Department of Biological Sciences,BIO43301,Biochemistry of Signal Transduction and Regulation,Jang Hyun Choi,Undergraduate Course,
Department of Biological Sciences,BIO43501,Cancer Biology,Young Chan Chae,Undergraduate Course,Molecular Biology
Department of Biological Sciences,BIO43601,Emerging Principles of Gene Expression,Chunghun Lim,Undergraduate Course,
Department of Biomedical Engineering,BME20401,Biosensors & Signals,Joon-Mo Yang,Undergraduate Course,
Department of Biomedical Engineering,BME21001,Engineering Mathematics,Whan Hyuk Choi,Undergraduate Course,
Department of Biomedical Engineering,BME21201,Biomedical instrumentation & analysis,Jinmyoung Joo,Undergraduate Course,
Department of Biomedical Engineering,BME21301,Biophysical Chemistry,Jongnam Park,Undergraduate Course,General Chemistry II
Department of Biomedical Engineering,BME23501,Tissue Engineering,Hyun-Wook Kang,Undergraduate Course,
Department of Biomedical Engineering,BME30401,Brain and Human Behavior Ⅰ - Common to h,Dooyoung Jung,Undergraduate Course,
Department of Biomedical Engineering,BME30701,Biomechanics,GWANSEOB SHIN,Undergraduate Course,
Department of Biomedical Engineering,BME30901,Decision making and the Brain,Dongil Chung,Undergraduate Course,
Department of Biomedical Engineering,BME31101,Transport Phenomena in Biological System,Joo Hun Kang,Undergraduate Course,Differential Equations
Department of Biomedical Engineering,BME32001,Advanced Biomedical Instruments,Woonggyu Jung,Undergraduate Course,
Department of Biomedical Engineering,BME40701,Bio-imaging and Deep Learning,Chung Hun Park,Undergraduate Course,
Department of Biomedical Engineering,BME41201,Organ-on-a-chip,Tae-Eun Park,Undergraduate Course,
Department of Biomedical Engineering,BME42101,Nano-Bioengineering,Yoon-Kyoung Cho,Undergraduate Course,
Department of Biomedical Engineering,BME42401,Cancer Genomics,Semin Lee,Undergraduate Course,
Department of Biomedical Engineering,BME43401,Computational Neuroscience,Sung Phil Kim,Undergraduate Course,
Department of Biomedical Engineering,BME43701,AI-based Affective Engineering,Youngshin Kwak,Undergraduate Course,
Department of Biomedical Engineering,BME49001,Capstone Project,Jinmyoung Joo,Undergraduate Course,
School of New UNISTars,CHM10101,General Chemistry I,Geun Young Jin,Undergraduate Course,
School of New UNISTars,CHM10102,General Chemistry I,John Thomas King,Undergraduate Course,
School of New UNISTars,CHM10103,General Chemistry I,Young S. Park,Undergraduate Course,
School of New UNISTars,CHM10104,General Chemistry I,Jan-Uwe Rohde,Undergraduate Course,
School of New UNISTars,CHM10105,General Chemistry I,Bum Suk Zhao,Undergraduate Course,
School of New UNISTars,CHM10501,General Chemistry Lab I,Cheol-Min Park,Undergraduate Course,
School of New UNISTars,CHM10502,General Chemistry Lab I,Oh Hoon Kwon,Undergraduate Course,
School of New UNISTars,CHM10503,General Chemistry Lab I,Thomas Schultz,Undergraduate Course,
School of New UNISTars,CHM10504,General Chemistry Lab I,Cheol-Min Park,Undergraduate Course,
School of New UNISTars,CHM10505,General Chemistry Lab I,Jung-Min Kee,Undergraduate Course,
School of New UNISTars,CHM10506,General Chemistry Lab I,Geunsik Lee,Undergraduate Course,
School of New UNISTars,CHM10507,General Chemistry Lab I,Hyunchul Oh,Undergraduate Course,
School of New UNISTars,CHM10508,General Chemistry Lab I,Thomas Schultz,Undergraduate Course,
School of New UNISTars,CHM10509,General Chemistry Lab I,Thomas Schultz,Undergraduate Course,
School of New UNISTars,CHM10510,General Chemistry Lab I,Geunsik Lee,Undergraduate Course,
School of New UNISTars,CHM10511,General Chemistry Lab I,Bum Suk Zhao,Undergraduate Course,
School of New UNISTars,CHM10512,General Chemistry Lab I,Hyunchul Oh,Undergraduate Course,
School of New UNISTars,CHM10513,General Chemistry Lab I,Jung-Min Kee,Undergraduate Course,
School of New UNISTars,CHM10514,General Chemistry Lab I,Hyunchul Oh,Undergraduate Course,
School of New UNISTars,CHM10515,General Chemistry Lab I,Geunsik Lee,Undergraduate Course,
School of New UNISTars,CHM10516,General Chemistry Lab I,Jung-Min Kee,Undergraduate Course,
School of New UNISTars,CHM10517,General Chemistry Lab I,Hyunchul Oh,Undergraduate Course,
School of New UNISTars,CHM10518,General Chemistry Lab I,Geunsik Lee,Undergraduate Course,
School of New UNISTars,CHM10519,General Chemistry Lab I,Bum Suk Zhao,Undergraduate Course,
School of New UNISTars,CHM10520,General Chemistry Lab I,Bum Suk Zhao,Undergraduate Course,
School of New UNISTars,CHM10521,General Chemistry Lab I,Jung-Min Kee,Undergraduate Course,
School of New UNISTars,CHM10522,General Chemistry Lab I,Hyunchul Oh,Undergraduate Course,
School of New UNISTars,CHM10523,General Chemistry Lab I,Bum Suk Zhao,Undergraduate Course,
School of New UNISTars,CHM10524,General Chemistry Lab I,Oh Hoon Kwon,Undergraduate Course,
School of New UNISTars,CHM10525,General Chemistry Lab I,Hyunchul Oh,Undergraduate Course,
School of New UNISTars,CHM10601,General Chemistry Lab II,Oh Hoon Kwon,Undergraduate Course,General Chemistry Lab I
Department of Chemistry,CHM21101,Organic Chemistry I,BongSoo Kim,Undergraduate Course,
Department of Chemistry,CHM21102,Organic Chemistry I,Jung-Min Kee,Undergraduate Course,
Department of Chemistry,CHM23101,Physical Chemistry I,YUNG SAM KIM,Undergraduate Course,
Department of Chemistry,CHM29101,Analytical Chemistry,Kyoseung Sim,Undergraduate Course,
Department of Chemistry,CHM30101,Inorganic Chemistry Laboratory,Hoi Ri MOON,Undergraduate Course,
Department of Chemistry,CHM31101,Synthetic Organic Chemisty,Cheol-Min Park,Undergraduate Course,
Department of Chemistry,CHM31301,Fundamental of Energy Materials,"Tae-Hyuk Kwon
Kwanyong Seo",Undergraduate Course,
Department of Chemistry,CHM32101,Biochemistry I,Duyoung Min,Undergraduate Course,
Department of Chemistry,CHM33301,Physical Chemistry III,Oh Hoon Kwon,Undergraduate Course,Physical Chemistry II
Department of Chemistry,CHM33501,Quantum Chemistry,Thomas Schultz,Undergraduate Course,Physical Chemistry II
Department of Chemistry,CHM35101,Inorganic Chemistry I,Hoi Ri MOON,Undergraduate Course,
Department of Chemistry,CHM40101,Special Topics in Chemistry Ⅰ,YungDoug Suh,Undergraduate Course,
Department of Chemistry,CHM40201,Special Topics in Chemistry II,Ja Hyoung Ryu,Undergraduate Course,
Department of Chemistry,CHM43301,Solid State Physical Chemistry,Geunsik Lee,Undergraduate Course,
Department of Chemistry,CHM45301,Bioinorganic Chemistry,Jaeheung Cho,Undergraduate Course,
Department of Chemistry,CHM45401,Solid State Chemistry,Wonyoung Choe,Undergraduate Course,
Department of Computer Science and Engineering,CSE24101,Advanced Programming,Michael Burrell,Undergraduate Course,
Department of Computer Science and Engineering,CSE25101,System Programming,Youngbin Im,Undergraduate Course,
Department of Computer Science and Engineering,CSE31101,Operating Systems,Woongki Baek,Undergraduate Course,Data Structures
Department of Computer Science and Engineering,CSE33101,Intro to Algorithms,Seulki Lee,Undergraduate Course,Data Structures
Department of Computer Science and Engineering,CSE33301,Introduction to Human Computer Interaction,Jaeyeon Lee,Undergraduate Course,
Department of Computer Science and Engineering,CSE36401,Software Engineering,Jooyong Yi,Undergraduate Course,Advanced Programming
Department of Computer Science and Engineering,CSE46301,Machine Learning,Kwang In Kim,Undergraduate Course,Applied Linear Algebra
Department of Computer Science and Engineering,CSE46701,Computer Security,Yuseok Jeon,Undergraduate Course,Computer Architecture
Department of Computer Science and Engineering,CSE46901,Introduction to Robotics,Jaeyeon Lee,Undergraduate Course,Calculus II
Department of Design,DES20101,Designing Ambient Things,YOUNGWOO PARK,Undergraduate Course,
Department of Design,DES30101,Product Design I,KwanMyung Kim,Undergraduate Course,Product Design Fundamentals
Department of Design,DES34201,Service Design Fundamental,Hwang Kim,Undergraduate Course,
Department of Design,DES40201,Interactive Technology,Ian Oakley,Undergraduate Course,
Department of Design,DES40301,Product Understanding Use and Experience,Chajoong Kim,Undergraduate Course,
Department of Design,DES40501,Design Communication,Seungho Lee,Undergraduate Course,
Department of Design,DES43101,Creative Design 1,KwanMyung Kim,Undergraduate Course,Product Design II
School of Energy and Chemical Engineering,ECHE20101,Organic Chemistry I,Changduk Yang,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE20301,Physical Chemistry I,Ja Hun Kwak,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE20302,Physical Chemistry I,Ji-Hyun Jang,Undergraduate Course,
School of Energy and Chemical Engineering,ECHE21201,Intro to Chemical Process,Hyunhyub Ko,Undergraduate Course,
